sellerRating,Duration,ClosePrice,OpenPrice,currencyUS,currencyGBP,currencyEUR,competitive
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3249,5,0.01,0.01,1,0,0,no
3115,7,0.01,0.01,1,0,0,no
3115,7,0.01,0.01,1,0,0,no
3115,7,0.01,0.01,1,0,0,no
3115,7,0.01,0.01,1,0,0,no
3115,7,0.01,0.01,1,0,0,yes
3115,7,0.01,0.01,1,0,0,yes
37727,7,0.01,0.01,1,0,0,no
3249,5,0.06,0.01,1,0,0,yes
3249,5,0.1,0.01,1,0,0,yes
34343,1,0.11,0.01,1,0,0,yes
3249,5,0.11,0.01,1,0,0,yes
3249,5,0.17,0.01,1,0,0,yes
3249,5,0.17,0.01,1,0,0,yes
3249,5,0.21,0.01,1,0,0,yes
3249,5,0.55,0.01,1,0,0,yes
3249,5,0.55,0.01,1,0,0,yes
3249,5,1.05,0.01,1,0,0,yes
3249,5,1.25,0.01,1,0,0,yes
3249,5,1.25,0.01,1,0,0,yes
3249,5,1.25,0.01,1,0,0,yes
3249,5,1.25,0.01,1,0,0,yes
3249,5,1.29,0.01,1,0,0,yes
3249,5,1.3,0.01,1,0,0,yes
3249,5,1.32,0.01,1,0,0,yes
3249,5,1.32,0.01,1,0,0,yes
3249,5,1.37,0.01,1,0,0,yes
3249,5,1.5,0.01,1,0,0,yes
3249,5,1.58,0.01,1,0,0,yes
3249,5,1.75,0.01,1,0,0,yes
3249,5,2,0.01,1,0,0,yes
3249,5,2,0.01,1,0,0,yes
3249,5,2,0.01,1,0,0,yes
3249,5,2.05,0.01,1,0,0,yes
3249,5,2.13,0.01,1,0,0,yes
3249,5,2.25,0.01,1,0,0,yes
3249,5,2.25,0.01,1,0,0,yes
3249,5,2.3,0.01,1,0,0,yes
3115,7,2.31,0.01,1,0,0,yes
3249,5,2.33,0.01,1,0,0,yes
3249,5,2.8,0.01,1,0,0,yes
3249,5,3,0.01,1,0,0,yes
3249,5,3,0.01,1,0,0,yes
3249,5,3.01,0.01,1,0,0,yes
3249,5,3.06,0.01,1,0,0,yes
3249,5,3.08,0.01,1,0,0,yes
3249,5,3.25,0.01,1,0,0,yes
3249,5,3.25,0.01,1,0,0,yes
3249,5,3.25,0.01,1,0,0,yes
3249,5,3.25,0.01,1,0,0,yes
3249,5,3.26,0.01,1,0,0,yes
3249,5,3.27,0.01,1,0,0,yes
3249,5,3.3,0.01,1,0,0,yes
3249,5,3.31,0.01,1,0,0,yes
3249,5,3.36,0.01,1,0,0,yes
3249,5,3.5,0.01,1,0,0,yes
3249,5,3.55,0.01,1,0,0,yes
3249,5,3.75,0.01,1,0,0,yes
3249,5,3.75,0.01,1,0,0,yes
3249,5,3.76,0.01,1,0,0,yes
3249,5,3.8,0.01,1,0,0,yes
3249,5,3.8,0.01,1,0,0,yes
3249,5,3.84,0.01,1,0,0,yes
3249,5,4.17,0.01,1,0,0,yes
3249,5,4.25,0.01,1,0,0,yes
3249,5,4.25,0.01,1,0,0,yes
3249,5,4.25,0.01,1,0,0,yes
3249,5,4.25,0.01,1,0,0,yes
37727,7,4.26,0.01,1,0,0,yes
3249,5,4.29,0.01,1,0,0,yes
3249,5,4.31,0.01,1,0,0,yes
3249,5,4.4,0.01,1,0,0,yes
3249,5,4.54,0.01,1,0,0,yes
3249,5,4.75,0.01,1,0,0,yes
3249,5,4.9,0.01,1,0,0,yes
3249,5,5,0.01,1,0,0,yes
3249,5,5,0.01,1,0,0,yes
3249,5,5.01,0.01,1,0,0,yes
3249,5,5.5,0.01,1,0,0,yes
3249,5,5.5,0.01,1,0,0,yes
3249,5,5.5,0.01,1,0,0,yes
3249,5,5.52,0.01,1,0,0,yes
3249,5,5.52,0.01,1,0,0,yes
3249,5,6,0.01,1,0,0,yes
3249,5,6.01,0.01,1,0,0,yes
3249,5,6.15,0.01,1,0,0,yes
3249,5,6.18,0.01,1,0,0,yes
3249,5,6.5,0.01,1,0,0,yes
3249,5,6.5,0.01,1,0,0,yes
3249,5,6.5,0.01,1,0,0,yes
3249,5,6.5,0.01,1,0,0,yes
29,7,11.6,0.017846154,0,1,0,yes
3249,5,6.55,0.01,1,0,0,yes
3249,5,6.71,0.01,1,0,0,yes
3249,5,7,0.01,1,0,0,yes
3249,5,7,0.01,1,0,0,yes
3249,5,7,0.01,1,0,0,yes
3249,5,7.05,0.01,1,0,0,yes
3249,5,7.5,0.01,1,0,0,yes
3249,5,7.5,0.01,1,0,0,yes
3249,5,7.5,0.01,1,0,0,yes
3249,5,7.51,0.01,1,0,0,yes
3249,5,7.55,0.01,1,0,0,yes
3249,5,8.01,0.01,1,0,0,yes
3249,5,8.05,0.01,1,0,0,yes
3249,5,8.05,0.01,1,0,0,yes
3249,5,8.26,0.01,1,0,0,yes
3249,5,8.49,0.01,1,0,0,yes
3249,5,8.5,0.01,1,0,0,yes
3249,5,8.5,0.01,1,0,0,yes
3249,5,9.39,0.01,1,0,0,yes
3249,5,9.5,0.01,1,0,0,yes
3249,5,9.99,0.01,1,0,0,yes
3249,5,10,0.01,1,0,0,yes
3249,5,10,0.01,1,0,0,yes
3249,5,10.5,0.01,1,0,0,yes
3249,5,10.5,0.01,1,0,0,yes
3249,5,10.5,0.01,1,0,0,yes
352,7,11.5,0.01,1,0,0,yes
3249,5,11.55,0.01,1,0,0,yes
3249,5,11.71,0.01,1,0,0,yes
3249,5,15.5,0.01,1,0,0,yes
2991,7,0.98,0.534545455,0,1,0,yes
3249,5,18,0.01,1,0,0,yes
3249,5,18.5,0.01,1,0,0,yes
1,5,20.7,0.01,1,0,0,yes
1,5,22,0.01,1,0,0,yes
1,5,23.65,0.01,1,0,0,yes
5450,3,26,0.01,1,0,0,yes
1,5,26,0.01,1,0,0,yes
3249,5,27,0.01,1,0,0,yes
1029,7,1.07,1.07,0,1,0,no
1029,7,1.07,1.07,0,1,0,no
2991,7,2.14,0.535,0,1,0,yes
2991,7,2.16,0.53553719,0,1,0,yes
1,5,43,0.01,1,0,0,yes
1,5,46.02,0.01,1,0,0,yes
30,7,0.7,0.7,1,0,0,no
1029,7,1.25,1.25,0,1,0,no
1029,7,1.25,1.25,0,1,0,no
1029,7,1.25,1.25,0,1,0,no
1029,7,1.25,1.25,0,1,0,yes
70,7,1.86,0.894230769,0,1,0,yes
1,5,52.02,0.01,1,0,0,yes
